strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,KD,2024-06-03,26.84,25.96,0.88,2024-06-04,25.96,stop_loss,1855,49788.2,-1632.4,-0.032787,-1.0,-1.0114,0.0909,1,93.0,entry=rsi2_next_open; setup_rsi2=1.37; raw_entry=open:26.8400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=25.959999084472656; decision_date=2024-05-31 00:00:00; filter_close=26.6100; filter_ma50=22.9894; filter_avg_value_10=44.85; filter_adr20=3.70; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,ZETA,2024-06-04,15.96,15.862,0.098,2024-06-04,15.862,same_day_stop_loss_red_candle,3113,49683.48,-305.07,-0.00614,-1.0,-4.4898,0.5102,0,96.0,entry=rsi2_next_open; setup_rsi2=3.47; raw_entry=open:15.9600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=15.862000465393066; decision_date=2024-06-03 00:00:00; filter_close=15.9600; filter_ma50=13.6866; filter_avg_value_10=46.14; filter_adr20=3.69; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,VRT,2024-06-04,93.7134,92.4166,1.2967,2024-06-04,92.4166,same_day_stop_loss_red_candle,530,49668.08,-687.26,-0.013837,-1.0,-3.7077,0.3539,0,96.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:93.7134; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=92.41663584057764; decision_date=2024-06-03 00:00:00; filter_close=95.8679; filter_ma50=90.0849; filter_avg_value_10=872.77; filter_adr20=4.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,SMTC,2024-06-04,37.94,37.71,0.23,2024-06-04,37.71,same_day_stop_loss_red_candle,1310,49701.4,-301.3,-0.006062,-1.0,-4.0435,0.6957,0,94.0,entry=rsi2_next_open; setup_rsi2=4.47; raw_entry=open:37.9400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=37.709999084472656; decision_date=2024-06-03 00:00:00; filter_close=38.1800; filter_ma50=35.2882; filter_avg_value_10=50.50; filter_adr20=4.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,KD,2024-06-04,26.37,26.01,0.36,2024-06-04,26.01,same_day_stop_loss_red_candle,1884,49681.08,-678.24,-0.013652,-1.0,-1.1667,0.5278,0,93.0,entry=rsi2_next_open; setup_rsi2=0.74; raw_entry=open:26.3700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=26.01000022888184; decision_date=2024-06-03 00:00:00; filter_close=26.5100; filter_ma50=23.0728; filter_avg_value_10=45.13; filter_adr20=3.74; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,EME,2024-06-04,369.5835,364.7941,4.7894,2024-06-04,364.7941,same_day_stop_loss_red_candle,134,49524.19,-641.78,-0.012959,-1.0,-2.2599,0.2786,0,90.0,entry=rsi2_next_open; setup_rsi2=3.87; raw_entry=open:369.5835; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=364.7940673925176; decision_date=2024-06-03 00:00:00; filter_close=371.5053; filter_ma50=362.1613; filter_avg_value_10=343.29; filter_adr20=2.51; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,ONTO,2024-06-04,212.78,208.59,4.19,2024-06-04,208.59,same_day_stop_loss_red_candle,233,49577.74,-976.27,-0.019692,-1.0,-1.5131,0.58,0,90.0,entry=rsi2_next_open; setup_rsi2=3.29; raw_entry=open:212.7800; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=208.58999633789065; decision_date=2024-06-03 00:00:00; filter_close=215.5000; filter_ma50=199.6888; filter_avg_value_10=97.12; filter_adr20=3.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,EMBJ,2024-06-03,28.1577,27.049,1.1087,2024-06-05,27.888,2_day_low,1767,49754.69,-476.54,-0.009578,-0.2432,-0.6036,0.9009,2,91.0,entry=rsi2_next_open; setup_rsi2=1.00; raw_entry=open:28.1577; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=27.04898702081028; decision_date=2024-05-31 00:00:00; filter_close=27.7582; filter_ma50=26.6137; filter_avg_value_10=36.52; filter_adr20=3.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,PAAS,2024-06-05,19.8281,19.6719,0.1562,2024-06-05,19.6719,same_day_stop_loss_red_candle,2552,50601.24,-398.63,-0.007878,-1.0,-1.1875,2.25,0,90.0,entry=rsi2_next_open; setup_rsi2=3.58; raw_entry=open:19.8281; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=19.671870093971684; decision_date=2024-06-04 00:00:00; filter_close=19.7304; filter_ma50=18.5983; filter_avg_value_10=96.93; filter_adr20=3.83; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,VRT,2024-06-05,93.3343,88.9055,4.4288,2024-06-06,88.9055,stop_loss,537,50120.53,-2378.28,-0.047451,-1.0,-1.4437,1.0788,1,95.0,entry=rsi2_next_open; setup_rsi2=1.45; raw_entry=open:93.3343; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=88.90549642357976; decision_date=2024-06-04 00:00:00; filter_close=91.8580; filter_ma50=90.2762; filter_avg_value_10=941.25; filter_adr20=4.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,BZFD,2024-06-06,2.53,2.52,0.01,2024-06-06,2.52,same_day_stop_loss_red_candle,19787,50061.11,-197.87,-0.003953,-1.0,-1.0,15.0,0,98.0,entry=rsi2_next_open; setup_rsi2=2.84; raw_entry=open:2.5300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=2.5199999809265137; decision_date=2024-06-05 00:00:00; filter_close=2.5600; filter_ma50=1.9733; filter_avg_value_10=26.01; filter_adr20=15.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,PRCT,2024-05-30,64.63,62.71,1.92,2024-06-07,67.33,2_day_low,777,50217.51,2097.9,0.041776,1.4063,-0.2708,2.4375,6,94.0,entry=rsi2_next_open; setup_rsi2=3.45; raw_entry=open:64.6300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=62.709999084472656; decision_date=2024-05-29 00:00:00; filter_close=64.1000; filter_ma50=55.9396; filter_avg_value_10=42.56; filter_adr20=5.43; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,OSCR,2024-06-05,19.03,18.65,0.38,2024-06-07,18.65,stop_loss,2619,49839.57,-995.22,-0.019969,-1.0,-4.9474,2.2895,2,97.0,entry=rsi2_next_open; setup_rsi2=4.05; raw_entry=open:19.0300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=18.649999618530277; decision_date=2024-06-04 00:00:00; filter_close=18.9500; filter_ma50=17.9468; filter_avg_value_10=65.11; filter_adr20=5.59; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,CLS,2024-06-05,53.86,51.89,1.97,2024-06-07,51.89,stop_loss,928,49982.08,-1828.16,-0.036576,-1.0,-1.5076,1.3249,2,96.0,entry=rsi2_next_open; setup_rsi2=2.43; raw_entry=open:53.8600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=51.88999938964844; decision_date=2024-06-04 00:00:00; filter_close=52.7100; filter_ma50=48.3554; filter_avg_value_10=138.25; filter_adr20=4.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,HBM,2024-06-05,9.1101,8.8107,0.2993,2024-06-07,8.9903,2_day_low,5513,50223.87,-660.12,-0.013144,-0.4,-0.5667,0.9,2,94.0,entry=rsi2_next_open; setup_rsi2=2.48; raw_entry=open:9.1101; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=8.81073186785074; decision_date=2024-06-04 00:00:00; filter_close=8.9804; filter_ma50=8.4134; filter_avg_value_10=56.03; filter_adr20=3.94; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,CRS,2024-06-05,103.5153,102.9694,0.5459,2024-06-07,102.9694,stop_loss,486,50308.42,-265.29,-0.005273,-1.0,-1.4,6.8909,2,93.0,entry=rsi2_next_open; setup_rsi2=1.93; raw_entry=open:103.5153; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=102.96939439673434; decision_date=2024-06-04 00:00:00; filter_close=103.6542; filter_ma50=90.7343; filter_avg_value_10=49.92; filter_adr20=3.01; rs_bucket=rs90_100
