strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_5d_open,DOCS,2024-12-31,53.7954,,,2025-01-07,56.2944,hold_5d_open,2680,144171.62,6697.29,0.046454,,,,5,91.0,entry=rsi2_next_open; setup_rsi2=4.18; raw_entry=open:53.7900; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-30 00:00:00; filter_close=53.4600; filter_ma50=50.3018; filter_avg_value_10=147.00; filter_adr20=4.08; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,RBRK,2025-01-02,65.7266,,,2025-01-10,62.2438,hold_5d_open,2193,144138.38,-7637.78,-0.052989,,,,6,96.0,entry=rsi2_next_open; setup_rsi2=4.49; raw_entry=open:65.7200; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=65.3600; filter_ma50=53.1002; filter_avg_value_10=245.90; filter_adr20=6.80; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,BE,2025-01-02,22.5123,,,2025-01-10,23.8976,hold_5d_open,6409,144281.02,8878.76,0.061538,,,,6,94.0,entry=rsi2_next_open; setup_rsi2=3.49; raw_entry=open:22.5100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=22.2100; filter_ma50=19.5120; filter_avg_value_10=112.33; filter_adr20=7.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,AXON,2025-01-02,604.1304,,,2025-01-10,571.9428,hold_5d_open,239,144387.17,-7692.84,-0.053279,,,,6,92.0,entry=rsi2_next_open; setup_rsi2=4.03; raw_entry=open:604.0700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=594.3200; filter_ma50=576.9822; filter_avg_value_10=900.79; filter_adr20=3.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,ARQT,2025-01-02,14.2014,,,2025-01-10,14.8985,hold_5d_open,10186,144655.66,7100.56,0.049086,,,,6,92.0,entry=rsi2_next_open; setup_rsi2=4.69; raw_entry=open:14.2000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=13.9300; filter_ma50=11.3077; filter_avg_value_10=34.51; filter_adr20=7.65; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,DXYZ,2025-01-03,56.2706,,,2025-01-10,56.1144,hold_5d_open,2601,146359.9,-406.38,-0.002777,,,,5,99.0,entry=rsi2_next_open; setup_rsi2=3.69; raw_entry=open:56.2650; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=57.1600; filter_ma50=41.6466; filter_avg_value_10=88.80; filter_adr20=14.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,UAL,2025-01-03,95.4095,,,2025-01-10,109.4591,hold_5d_open,1548,147693.97,21748.65,0.147255,,,,5,93.0,entry=rsi2_next_open; setup_rsi2=4.02; raw_entry=open:95.4000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=95.4300; filter_ma50=91.1548; filter_avg_value_10=452.87; filter_adr20=3.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,TSLA,2025-01-03,381.5182,,,2025-01-10,391.3609,hold_5d_open,387,147647.53,3809.12,0.025799,,,,5,93.0,entry=rsi2_next_open; setup_rsi2=2.97; raw_entry=open:381.4800; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=379.2800; filter_ma50=349.3916; filter_avg_value_10=40205.61; filter_adr20=5.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,ALK,2025-01-03,64.3064,,,2025-01-10,68.8831,hold_5d_open,2316,148933.7,10599.58,0.07117,,,,5,92.0,entry=rsi2_next_open; setup_rsi2=4.64; raw_entry=open:64.3000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=64.3000; filter_ma50=55.3154; filter_avg_value_10=197.10; filter_adr20=3.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,CIEN,2025-01-03,83.6484,,,2025-01-10,80.5919,hold_5d_open,1779,148810.44,-5437.38,-0.036539,,,,5,91.0,entry=rsi2_next_open; setup_rsi2=2.87; raw_entry=open:83.6400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=83.2400; filter_ma50=73.6926; filter_avg_value_10=149.64; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,UMAC,2025-01-10,12.8413,,,2025-01-17,13.9086,hold_5d_open,11524,147982.96,12299.85,0.083117,,,,5,99.0,entry=rsi2_next_open; setup_rsi2=4.13; raw_entry=open:12.8400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=12.3800; filter_ma50=8.6020; filter_avg_value_10=63.73; filter_adr20=19.68; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,SOUN,2025-01-10,14.4414,,,2025-01-17,14.3586,hold_5d_open,10260,148169.21,-850.35,-0.005739,,,,5,98.0,entry=rsi2_next_open; setup_rsi2=2.20; raw_entry=open:14.4400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=15.0200; filter_ma50=12.3029; filter_avg_value_10=1585.05; filter_adr20=17.69; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,XMTR,2025-01-10,35.4635,,,2025-01-17,34.4366,hold_5d_open,4168,147812.06,-4280.5,-0.028959,,,,5,94.0,entry=rsi2_next_open; setup_rsi2=4.52; raw_entry=open:35.4600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=36.5400; filter_ma50=33.0894; filter_avg_value_10=29.73; filter_adr20=7.57; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,AISP,2025-01-10,4.5405,,,2025-01-17,5.3595,hold_5d_open,32378,147010.82,26517.91,0.180381,,,,5,94.0,entry=rsi2_next_open; setup_rsi2=2.91; raw_entry=open:4.5400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=4.5500; filter_ma50=3.4971; filter_avg_value_10=26.72; filter_adr20=20.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,AIRE,2025-01-10,42.4042,,,2025-01-17,51.2449,hold_5d_open,3472,147227.53,30694.68,0.208485,,,,5,94.0,entry=rsi2_next_open; setup_rsi2=4.89; raw_entry=open:42.4000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=44.7500; filter_ma50=34.0005; filter_avg_value_10=51.19; filter_adr20=22.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,GRRR,2025-01-13,13.4613,,,2025-01-21,13.4887,hold_5d_open,10487,141169.14,286.34,0.002028,,,,6,98.0,entry=rsi2_next_open; setup_rsi2=3.59; raw_entry=open:13.4600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-10 00:00:00; filter_close=11.6500; filter_ma50=8.9679; filter_avg_value_10=103.14; filter_adr20=22.73; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,NVCR,2025-01-13,27.4527,,,2025-01-21,26.3574,hold_5d_open,5089,139707.02,-5574.39,-0.039901,,,,6,92.0,entry=rsi2_next_open; setup_rsi2=1.18; raw_entry=open:27.4500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-10 00:00:00; filter_close=27.4500; filter_ma50=24.2271; filter_avg_value_10=26.42; filter_adr20=5.56; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,GDYN,2025-01-13,19.972,,,2025-01-21,21.2879,hold_5d_open,6993,139664.17,9201.92,0.065886,,,,6,91.0,entry=rsi2_next_open; setup_rsi2=3.40; raw_entry=open:19.9700; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-10 00:00:00; filter_close=20.3400; filter_ma50=18.9382; filter_avg_value_10=53.04; filter_adr20=4.01; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,DOCS,2025-01-13,51.3951,,,2025-01-21,53.9746,hold_5d_open,2724,140000.36,7026.46,0.050189,,,,6,90.0,entry=rsi2_next_open; setup_rsi2=4.60; raw_entry=open:51.3900; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-10 00:00:00; filter_close=52.1000; filter_ma50=52.0448; filter_avg_value_10=90.46; filter_adr20=3.94; rs_bucket=rs90_100
