strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,CAH,2025-04-09,122.32008,122.270629,0.049451,2025-04-09,122.270629,same_day_stop_loss,82,10030.25,-4.05,-0.000404,-1.0,-50.591205,141.775349,0,90.0,setup_rsi2=2.69; next_open_entry; avg_value_10=433.2960M; adr20=2.7248; close=128.9948; ma50=127.2240
rsi2,ANIP,2025-04-09,62.259998,61.740002,0.519997,2025-04-09,61.740002,same_day_stop_loss,161,10023.86,-83.72,-0.008352,-1.0,-1.59616,10.057756,0,90.0,setup_rsi2=2.67; next_open_entry; avg_value_10=31.2055M; adr20=4.5551; close=66.0100; ma50=61.7954
rsi2,LYG,2025-04-09,3.117456,3.05212,0.065336,2025-04-10,3.330804,atr_trail_stop,3212,10013.27,685.27,0.068436,3.265399,-0.714285,4.285718,1,94.0,setup_rsi2=1.52; next_open_entry; avg_value_10=123.5710M; adr20=2.8621; close=3.3695; ma50=3.2711
rsi2,HURN,2025-04-09,136.100006,133.820007,2.279999,2025-04-10,142.350006,atr_trail_stop,73,9935.3,456.25,0.045922,2.74123,-0.381584,4.25877,1,93.0,setup_rsi2=4.61; next_open_entry; avg_value_10=47.7179M; adr20=3.8817; close=144.1100; ma50=138.5628
rsi2,NWG,2025-04-09,10.017862,9.810726,0.207136,2025-04-10,10.695762,atr_trail_stop,1001,10027.88,678.58,0.067669,3.272725,-0.681821,4.545457,1,93.0,setup_rsi2=4.63; next_open_entry; avg_value_10=57.2622M; adr20=2.7993; close=10.8652; ma50=10.6897
rsi2,PUK,2025-04-09,17.661261,17.455212,0.20605,2025-04-10,18.711122,atr_trail_stop,568,10031.6,596.32,0.059444,5.095184,-0.571428,8.904695,1,92.0,setup_rsi2=1.57; next_open_entry; avg_value_10=27.0456M; adr20=2.6643; close=19.2900; ma50=18.3886
rsi2,AU,2025-04-08,32.845735,30.521473,2.324262,2025-04-14,39.837644,atr_trail_stop,304,9985.1,2125.54,0.212871,3.008227,-0.604939,3.658433,6,96.0,setup_rsi2=2.89; next_open_entry; avg_value_10=100.3788M; adr20=3.5664; close=31.7171; ma50=30.8612
rsi2,FSM,2025-04-09,5.46,5.13,0.33,2025-04-14,6.37,atr_trail_stop,1833,10008.18,1668.03,0.166667,2.757576,-0.424242,3.48485,5,94.0,setup_rsi2=3.37; next_open_entry; avg_value_10=97.3297M; adr20=6.2234; close=5.7500; ma50=5.2668
rsi2,AGL,2025-04-21,99.5,80.5,19.0,2025-04-22,99.750273,atr_trail_stop,101,10049.5,25.28,0.002515,0.013172,-0.052632,0.368421,1,93.0,setup_rsi2=1.96; next_open_entry; avg_value_10=43.6272M; adr20=9.8247; close=103.5000; ma50=101.6900
rsi2,CVSA,2025-04-22,99.129997,97.220001,1.909996,2025-04-24,105.25,atr_trail_stop,101,10012.13,618.12,0.061737,3.204197,-0.382198,4.570692,2,92.0,setup_rsi2=4.67; next_open_entry; avg_value_10=62.1631M; adr20=4.9248; close=102.1400; ma50=100.7398
