strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_rsi2_gt_50,RGTI,2025-08-22,14.1864,14.175,0.0114,2025-08-25,14.1736,stop_loss,727,10313.53,-9.33,-0.000905,-1.1241,-32.0893,68.6225,1,96.0,entry=rsi2_next_open; setup_rsi2=3.67; raw_entry=open:14.1850; slippage_bps=1.0; decision_date=2025-08-21 00:00:00; filter_close=14.2700; filter_ma50=14.1122; filter_avg_value_10=662.72; filter_adr20=8.14; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,JOBY,2025-08-22,14.5515,14.37,0.1815,2025-08-25,14.3686,stop_loss,709,10316.98,-129.67,-0.012569,-1.0079,-1.9644,2.9128,1,95.0,entry=rsi2_next_open; setup_rsi2=1.20; raw_entry=open:14.5500; slippage_bps=1.0; decision_date=2025-08-21 00:00:00; filter_close=14.4500; filter_ma50=13.9072; filter_avg_value_10=414.26; filter_adr20=8.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,CLS,2025-08-22,181.2281,179.5,1.7281,2025-08-25,192.8907,rsi2_gt_50,56,10148.78,653.1,0.064353,6.7487,-1.2835,7.3674,1,95.0,entry=rsi2_next_open; setup_rsi2=1.53; raw_entry=open:181.2100; slippage_bps=1.0; decision_date=2025-08-21 00:00:00; filter_close=181.3400; filter_ma50=168.4434; filter_avg_value_10=584.84; filter_adr20=5.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,COUR,2025-08-22,11.2711,11.155,0.1161,2025-08-25,11.1539,stop_loss,916,10324.35,-107.39,-0.010402,-1.0096,-1.2153,2.1,1,91.0,entry=rsi2_next_open; setup_rsi2=3.86; raw_entry=open:11.2700; slippage_bps=1.0; decision_date=2025-08-21 00:00:00; filter_close=11.2800; filter_ma50=9.9522; filter_avg_value_10=29.96; filter_adr20=4.90; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,PLTR,2025-08-21,157.1857,142.34,14.8457,2025-08-26,160.8539,rsi2_gt_50,65,10217.07,238.43,0.023337,0.2471,-0.5265,0.4051,3,94.0,entry=rsi2_next_open; setup_rsi2=0.90; raw_entry=open:157.1700; slippage_bps=1.0; decision_date=2025-08-20 00:00:00; filter_close=156.0100; filter_ma50=152.6604; filter_avg_value_10=14367.87; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,BWXT,2025-08-21,163.5576,161.2178,2.3398,2025-08-26,166.0376,rsi2_gt_50,63,10304.13,156.24,0.015163,1.0599,-0.5696,1.5997,3,90.0,entry=rsi2_next_open; setup_rsi2=0.69; raw_entry=open:163.5412; slippage_bps=1.0; decision_date=2025-08-20 00:00:00; filter_close=163.1025; filter_ma50=149.4977; filter_avg_value_10=212.99; filter_adr20=3.10; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TLN,2025-08-25,358.5358,348.86,9.6759,2025-08-26,378.7521,rsi2_gt_50,28,10039.0,566.06,0.056386,2.0894,-0.568,2.2318,1,90.0,entry=rsi2_next_open; setup_rsi2=0.78; raw_entry=open:358.5000; slippage_bps=1.0; decision_date=2025-08-22 00:00:00; filter_close=356.1100; filter_ma50=323.8052; filter_avg_value_10=287.98; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TLN,2025-08-26,374.9475,353.04,21.9075,2025-08-27,381.4619,rsi2_gt_50,27,10123.58,175.89,0.017374,0.2974,-0.3623,0.3584,1,90.0,entry=rsi2_next_open; setup_rsi2=0.65; raw_entry=open:374.9100; slippage_bps=1.0; decision_date=2025-08-25 00:00:00; filter_close=355.5300; filter_ma50=325.4160; filter_avg_value_10=270.07; filter_adr20=3.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,SNOA,2025-08-28,4.5505,4.54,0.0105,2025-08-29,4.5395,stop_loss,2272,10338.63,-24.79,-0.002397,-1.0434,-15.3469,10.4775,1,93.0,entry=rsi2_next_open; setup_rsi2=2.51; raw_entry=open:4.5500; slippage_bps=1.0; decision_date=2025-08-27 00:00:00; filter_close=4.5700; filter_ma50=3.5680; filter_avg_value_10=38.42; filter_adr20=9.46; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,WLDN,2025-09-03,107.1607,105.94,1.2207,2025-09-03,105.9294,same_day_stop_loss_red_candle,96,10287.43,-118.21,-0.01149,-1.0087,-4.8748,0.4172,0,97.0,entry=rsi2_next_open; setup_rsi2=4.35; raw_entry=open:107.1500; slippage_bps=1.0; decision_date=2025-09-02 00:00:00; filter_close=106.6700; filter_ma50=88.3712; filter_avg_value_10=52.35; filter_adr20=5.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TDUP,2025-09-03,10.311,10.21,0.101,2025-09-04,11.7088,rsi2_gt_50,1002,10331.65,1400.59,0.135563,13.8353,-2.0789,14.0448,1,98.0,entry=rsi2_next_open; setup_rsi2=4.16; raw_entry=open:10.3100; slippage_bps=1.0; decision_date=2025-09-02 00:00:00; filter_close=10.5500; filter_ma50=8.9122; filter_avg_value_10=26.59; filter_adr20=6.14; rs_bucket=rs90_100
