date,equity,cash_realized,open_positions,exposure
2025-04-22,1023808.6296206666,1018131.3700000001,2,20273.030047416687
2025-04-23,1023214.1404267503,1018131.3700000001,2,20273.030047416687
2025-04-24,1022636.3796206666,1018131.3700000001,2,20273.030047416687
2025-04-25,1022338.0599051667,1018131.3700000001,2,20273.030047416687
2025-04-28,1022678.4805215837,1017395.1500000001,2,20273.030047416687
2025-04-29,1025955.7701896669,1017395.1500000001,2,20273.030047416687
2025-04-30,1025819.0394309999,1017395.1500000001,2,20273.030047416687
2025-05-01,1024100.8100000002,1019408.8100000002,1,10068.0
2025-05-02,1022862.3134312328,1019408.8100000002,2,20278.128564922165
2025-05-05,1021192.4748844799,1019234.8100000002,2,20278.128564922165
2025-05-06,1021530.8546375927,1019234.8100000002,2,20278.128564922165
2025-05-07,1022845.8072906431,1019234.8100000002,3,30491.628564922165
2025-05-08,1024201.3166688317,1019234.8100000002,4,40729.452173922844
2025-05-09,1025519.2547897929,1019234.8100000002,4,40729.452173922844
2025-05-12,1024351.8616439933,1019234.8100000002,5,50959.661909793205
2025-05-13,1024527.4956750507,1019234.8100000002,5,50959.661909793205
2025-05-14,1023717.2643409604,1019234.8100000002,5,50959.661909793205
2025-05-15,1024364.5935586947,1018352.0000000001,5,50965.00194952328
2025-05-16,1025311.9729616898,1018352.0000000001,6,61202.80212232906
2025-05-19,1024229.8990644473,1017944.0000000001,5,51134.80212232906
2025-05-20,1024044.5488064545,1017944.0000000001,5,51134.80212232906
2025-05-21,1023386.52329817,1017944.0000000001,5,51134.80212232906
2025-05-22,1022286.0990517014,1017535.4600000001,4,40921.30212232906
2025-05-23,1022077.5096198274,1020319.8700000001,1,10237.800172805786
2025-05-27,1022042.8106439057,1020319.8700000001,2,20440.747994781552
2025-05-28,1021652.31705439,1020303.2500000001,4,40844.06870019537
2025-05-29,1021930.3879925003,1020303.2500000001,4,40844.06870019537
2025-05-30,1020466.7238236847,1020569.5200000001,2,20391.308036209164
2025-06-02,1020397.3405706635,1020363.6000000001,1,10202.947821975764
2025-06-03,1020292.3416082611,1019843.6000000001,1,10202.947821975764
2025-06-04,1020245.1991293182,1019739.1000000001,1,10202.947821975764
2025-06-05,1019752.3607902374,1019337.3600000001,2,20401.947821975766
2025-06-06,1018327.8520939865,1017209.68,2,20374.927661300717
2025-06-09,1019947.1656973877,1017209.68,2,20374.927661300717
2025-06-10,1020299.58267527,1017209.68,2,20374.927661300717
2025-06-11,1021374.3811095275,1017209.68,2,20374.927661300717
2025-06-12,1020752.4825060882,1017209.68,2,20374.927661300717
2025-06-13,1018768.4345458068,1017209.68,2,20374.927661300717
2025-06-16,1021181.8442940086,1016897.2300000001,10,101668.89695243427
2025-06-17,1016920.6627108139,1015282.9500000002,6,61163.00707892962
2025-06-18,1018505.9142455341,1015282.9500000002,9,91673.59554936884
2025-06-20,1017452.7795722059,1014023.4800000003,7,71307.66607835292
2025-06-23,1015709.8206507269,1012949.5100000004,7,71136.83266268129
2025-06-24,1018792.6327302989,1012836.1800000004,11,111818.19342648928
2025-06-25,1018289.582703968,1011703.2700000005,10,101662.1236199135
2025-06-26,1019899.2622462425,1011127.9900000005,10,101651.34417235796
2025-06-27,1020957.1962622318,1011127.9900000005,10,101651.34417235796
2025-06-30,1022908.8730224285,1011127.9900000005,11,111858.74441420977
2025-07-01,1021498.6213350432,1010176.3900000004,8,81382.27008068663
2025-07-02,1024957.2189660209,1010176.3900000004,8,81382.27008068663
2025-07-03,1025798.8282827132,1011610.0000000003,7,71225.18993771178
2025-07-07,1023761.030137419,1010870.0000000003,6,61075.1903191815
2025-07-08,1020663.8615512222,1013568.3100000004,5,50918.12826550108
2025-07-09,1021110.2393297581,1017262.4400000004,3,30550.700670719147
2025-07-10,1022503.3804101376,1017262.4400000004,4,40764.78038263321
2025-07-11,1022455.1206712155,1016126.9400000004,5,50948.27990961075
2025-07-14,1024115.5404614834,1016126.9400000004,6,61183.15968084335
2025-07-15,1023625.9205810933,1015665.4900000005,10,102096.79428625107
2025-07-16,1025687.2472109513,1015277.9700000004,10,102095.6346001625
2025-07-17,1030062.9303528981,1015277.9700000004,10,102095.6346001625
2025-07-18,1028265.1872020345,1017388.0600000005,9,91910.49414110184
2025-07-21,1026011.60978056,1017487.7600000005,7,71488.57978200912
2025-07-22,1027039.3796069722,1017487.7600000005,8,81758.57978200912
2025-07-23,1029009.261044808,1017325.0700000005,8,81758.57978200912
2025-07-24,1031138.7516258054,1017461.7800000005,8,81825.35933637619
2025-07-25,1030147.510929852,1017461.7800000005,8,81825.35933637619
2025-07-28,1030080.1515920262,1017080.7600000005,7,71555.35933637619
2025-07-29,1026979.2900941853,1020907.3000000004,4,40803.30053758621
2025-07-30,1025397.5005424503,1018500.8000000004,1,10188.629945755007
2025-07-31,1022885.2954712204,1017696.5300000004,6,61299.249217033386
2025-08-01,1020947.8997632507,1019458.4000000004,1,10227.899715900421
2025-08-04,1023618.8388508407,1018750.0900000003,10,102046.16424821016
2025-08-05,1024343.5861266796,1017763.6000000003,9,91816.22410081026
2025-08-06,1022130.7696623317,1017260.6800000003,8,81590.18386099931
2025-08-07,1022125.5169882384,1016935.6900000003,7,71374.19383404848
2025-08-08,1024929.1302681152,1015537.0000000003,5,51049.83378766176
2025-08-11,1024521.8060815994,1015566.0500000004,4,40835.85383198854
2025-08-12,1025050.9208024208,1015566.0500000004,6,61322.15416691896
2025-08-13,1028399.7196796898,1016584.8500000004,5,51182.55012202263
2025-08-14,1026428.6608127313,1016412.3700000005,5,51182.55012202263
2025-08-15,1025516.8791742997,1021774.5700000004,5,51202.81140112877
2025-08-18,1026360.0497771553,1021259.6300000004,4,40954.65040612221
2025-08-19,1023608.86936142,1021521.2700000004,2,20505.409866571426
2025-08-20,1023723.1909538368,1020910.6100000003,3,30737.409866571426
2025-08-21,1024190.2965072701,1020910.6100000003,4,40876.96669979398
2025-08-22,1025755.6168529103,1020910.6100000003,4,40876.96669979398
2025-08-25,1024430.8899563858,1020910.6100000003,4,40876.96669979398
2025-08-26,1025097.2831234047,1020910.6100000003,4,40876.96669979398
2025-08-27,1023996.242898204,1020373.4300000003,3,30644.966699793982
2025-08-28,1024055.6960172436,1020373.4300000003,4,40851.666662409945
2025-08-29,1023739.3609222128,1021019.8700000002,3,30709.529338121414
2025-09-02,1019966.2399626162,1019927.0400000003,1,10206.699962615967
2025-09-03,1019617.4699552921,1019791.8400000003,2,20381.120220184326
2025-09-04,1018824.8200000003,1018824.8200000003,0,0.0
2025-09-05,1018474.6002323154,1018283.2000000003,1,10170.299634933472
2025-09-08,1017747.7800000003,1017747.7800000003,0,0.0
2025-09-09,1017397.3200833133,1017348.1800000003,1,10150.140083312988
2025-09-10,1017412.0801388553,1017330.1800000003,1,10150.140083312988
2025-09-11,1017721.4795834353,1017330.1800000003,1,10150.140083312988
2025-09-12,1017703.2798611453,1017330.1800000003,1,10150.140083312988
2025-09-15,1017384.7798611453,1017330.1800000003,1,10150.140083312988
2025-09-16,1017710.3302233365,1017108.1400000002,1,10170.319872379303
2025-09-17,1018312.760082617,1017108.1400000002,3,30517.730228185654
2025-09-18,1019642.8803787377,1017108.1400000002,3,30517.730228185654
2025-09-19,1019322.5692165282,1016416.0400000003,3,30528.030694246292
2025-09-22,1020948.5186567118,1015981.4800000002,3,30528.030694246292
2025-09-23,1018143.2998093464,1015786.2600000002,2,20347.41035580635
2025-09-24,1020803.8995909455,1015135.3500000002,3,30528.66035580635
2025-09-25,1019572.2443698408,1015135.3500000002,3,30528.66035580635
2025-09-26,1018929.8935168984,1016302.6400000002,6,60916.98489488608
2025-09-29,1019402.7454217327,1016068.2400000002,6,60914.72616055156
2025-09-30,1018116.8230586898,1015624.4900000002,5,50887.97597744609
2025-10-01,1019165.2926190459,1015301.2100000002,5,50880.735610033524
2025-10-02,1019632.0930576407,1014160.9100000001,4,40699.485610033524
2025-10-03,1020482.9344471776,1014160.9100000001,4,40699.485610033524
2025-10-06,1022891.9689614855,1014160.9100000001,4,40699.485610033524
2025-10-07,1022193.3346515977,1014160.9100000001,5,50818.14106657649
2025-10-08,1022940.0784206234,1013864.5100000001,5,50818.14106657649
2025-10-09,1022917.7020473324,1013864.5100000001,5,50818.14106657649
2025-10-10,1017834.931987723,1013748.8600000001,6,60992.64106657649
2025-10-13,1019593.3861184155,1013286.7800000001,5,50827.050390030396
2025-10-14,1016593.9154141999,1016584.3600000001,3,30473.65522670746
2025-10-15,1018155.7851859094,1015910.8500000001,4,40619.15485048294
2025-10-16,1016820.4048024941,1014794.93,4,40619.15485048294
2025-10-17,1016470.7542074586,1014307.0900000001,2,20251.15545654297
2025-10-20,1019405.0105316163,1013747.2000000001,3,30432.32958984375
2025-10-21,1017962.6803228379,1013747.2000000001,3,30432.32958984375
2025-10-22,1015335.7300588989,1012743.74,2,20284.499731063843
2025-10-23,1020983.0496656799,1012743.74,7,71242.88007354736
2025-10-24,1022488.8590032959,1012743.74,7,71242.88007354736
2025-10-27,1021354.4594299698,1012743.74,7,71242.88007354736
2025-10-28,1019780.0794296265,1012388.0,7,71260.52979755402
2025-10-29,1020639.6914853287,1011514.92,6,61052.20992565155
2025-10-30,1023245.8307237054,1015691.4400000001,6,61108.34011697769
2025-10-31,1024569.3685231598,1015691.4400000001,9,91813.23891153264
2025-11-03,1019272.4062946136,1012650.43,6,61262.44920720982
2025-11-04,1014505.1736571891,1009892.91,3,30605.208997630354
2025-11-05,1016187.2821690281,1009355.5700000001,6,61056.16897883343
2025-11-06,1013278.1197254951,1007649.68,4,40709.83914127278
2025-11-07,1012339.1200466164,1011181.4000000001,2,20373.199427031752
2025-11-10,1012625.0228137978,1011181.4000000001,3,30453.91985549855
2025-11-11,1011849.1490080262,1011954.9900000001,2,20215.260818481445
2025-11-12,1011386.9395152284,1011938.3700000001,2,20215.260818481445
2025-11-13,1010371.8593174745,1010028.9300000002,1,10134.540390014648
2025-11-14,1011002.3399349977,1010028.9300000002,1,10134.540390014648
2025-11-17,1010223.069382477,1009682.0500000002,1,10134.540390014648
2025-11-18,1010029.1796424867,1009601.0500000002,1,10134.540390014648
2025-11-19,1009975.1263830927,1009601.0500000002,2,20164.820559046137
2025-11-20,1007848.7878473261,1008171.5700000002,1,10030.280169031486
