strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,UUUU,2025-08-04,8.89,8.23,0.660001,2025-08-19,8.23,stop_loss,1133,10072.37,-747.78,-0.074241,-1.0,-1.10606,2.803026,15,97.0,setup_rsi2=3.29; next_open_entry; avg_value_10=112.9534M; adr20=8.3979; close=9.7200; ma50=6.7312
rsi2,AEHR,2025-08-04,17.58,15.94,1.64,2025-08-19,17.280001,pivot_low_break,575,10108.5,-172.5,-0.017065,-0.182926,-0.329268,1.932926,15,95.0,setup_rsi2=4.10; next_open_entry; avg_value_10=40.2121M; adr20=9.3023; close=19.0300; ma50=13.8206
rsi2,RBLX,2025-08-18,115.459999,112.0,3.459999,2025-08-19,116.510002,pivot_low_break,88,10160.48,92.4,0.009094,0.303469,-0.965317,1.687863,1,92.0,setup_rsi2=2.04; next_open_entry; avg_value_10=1102.0978M; adr20=5.1466; close=119.9500; ma50=113.1712
rsi2,ONDS,2025-07-30,1.865,1.78,0.085,2025-08-20,3.43,pivot_low_break,5408,10085.92,8463.52,0.839142,18.411757,-0.17647,29.705867,21,95.0,setup_rsi2=2.15; next_open_entry; avg_value_10=42.3130M; adr20=11.3514; close=2.0700; ma50=1.7015
rsi2,FFAI,2025-08-04,2.12,2.0,0.12,2025-08-20,2.27,pivot_low_break,4775,10123.0,716.25,0.070755,1.250002,-0.25,7.750008,16,93.0,setup_rsi2=2.67; next_open_entry; avg_value_10=100.3354M; adr20=17.9616; close=2.4100; ma50=1.7778
rsi2,EOSE,2025-08-04,5.67,5.27,0.4,2025-08-20,5.83,pivot_low_break,1787,10132.29,285.92,0.028219,0.4,-0.0625,3.099999,16,93.0,setup_rsi2=1.39; next_open_entry; avg_value_10=88.9931M; adr20=9.2122; close=6.2100; ma50=4.9983
rsi2,BMNR,2025-08-20,50.265236,47.755973,2.509263,2025-08-20,47.755973,same_day_stop_loss,200,10053.05,-501.85,-0.04992,-1.0,-1.207171,0.852589,0,99.0,setup_rsi2=4.24; next_open_entry; avg_value_10=4644.4077M; adr20=14.9000; close=52.0447; ma50=38.8395
rsi2,TLN,2025-08-20,364.109985,361.425995,2.68399,2025-08-20,361.425995,same_day_stop_loss,27,9830.97,-72.47,-0.007371,-1.0,-4.884513,0.599859,0,93.0,setup_rsi2=3.70; next_open_entry; avg_value_10=314.3042M; adr20=3.7288; close=360.1000; ma50=320.1241
rsi2,BWXT,2025-08-20,164.64813,163.172279,1.475851,2025-08-20,163.172279,same_day_stop_loss,61,10043.54,-90.03,-0.008964,-1.0,-2.32434,0.162167,0,90.0,setup_rsi2=1.12; next_open_entry; avg_value_10=212.9913M; adr20=3.0991; close=163.1025; ma50=149.4977
rsi2,AU,2025-08-20,49.993921,49.945959,0.047962,2025-08-20,49.945959,same_day_stop_loss,201,10048.78,-9.64,-0.000959,-1.0,-1.399949,34.398932,0,90.0,setup_rsi2=1.06; next_open_entry; avg_value_10=118.5494M; adr20=3.3035; close=51.5287; ma50=47.7599
rsi2,MP,2025-08-21,68.209999,66.080002,2.129997,2025-08-21,66.080002,same_day_stop_loss,147,10026.87,-313.11,-0.031227,-1.0,-1.591551,0.605635,0,98.0,setup_rsi2=3.99; next_open_entry; avg_value_10=1002.9309M; adr20=6.7886; close=68.2800; ma50=52.4036
rsi2,JOBY,2025-08-21,14.965,14.1,0.865,2025-08-22,14.55,pivot_low_break,671,10041.52,-278.46,-0.027731,-0.479769,-0.890174,0.132948,1,95.0,setup_rsi2=1.84; next_open_entry; avg_value_10=414.2570M; adr20=8.0531; close=14.4500; ma50=13.9072
rsi2,CLS,2025-08-21,183.289993,173.229996,10.059998,2025-08-22,181.210007,pivot_low_break,54,9897.66,-112.32,-0.011348,-0.206758,-0.425447,0.699802,1,95.0,setup_rsi2=2.12; next_open_entry; avg_value_10=584.8448M; adr20=5.2482; close=181.3400; ma50=168.4434
rsi2,TLN,2025-08-21,360.0,351.0,9.0,2025-08-22,351.0,stop_loss,27,9720.0,-243.0,-0.025,-1.0,-1.237779,0.885556,1,92.0,setup_rsi2=1.45; next_open_entry; avg_value_10=282.4336M; adr20=3.7456; close=357.8600; ma50=322.1794
rsi2,JOBY,2025-08-22,14.55,14.37,0.18,2025-08-22,14.37,same_day_stop_loss,690,10039.5,-124.2,-0.012371,-1.0,-1.972222,2.944438,0,95.0,setup_rsi2=1.20; next_open_entry; avg_value_10=418.9619M; adr20=7.9422; close=14.9500; ma50=14.0136
rsi2,RGTI,2025-08-22,14.185,14.175,0.01,2025-08-22,14.175,same_day_stop_loss,708,10042.98,-7.08,-0.000705,-1.0,-36.499237,78.498188,0,95.0,setup_rsi2=3.67; next_open_entry; avg_value_10=674.7693M; adr20=8.3332; close=14.8200; ma50=14.1582
rsi2,CLS,2025-08-22,181.210007,179.5,1.710007,2025-08-22,179.5,same_day_stop_loss,55,9966.55,-94.05,-0.009437,-1.0,-1.286552,5.33331,0,95.0,setup_rsi2=1.53; next_open_entry; avg_value_10=576.1933M; adr20=5.3862; close=188.9200; ma50=169.6680
rsi2,TLN,2025-08-22,357.859985,357.470001,0.389984,2025-08-22,357.470001,same_day_stop_loss,28,10020.08,-10.92,-0.00109,-1.0,-23.077862,15.846858,0,91.0,setup_rsi2=1.08; next_open_entry; avg_value_10=287.9846M; adr20=3.7528; close=356.1100; ma50=323.8052
rsi2,COUR,2025-08-22,11.27,11.155,0.115001,2025-08-25,11.155,stop_loss,892,10052.84,-102.58,-0.010204,-1.0,-1.217387,2.13042,3,90.0,setup_rsi2=3.86; next_open_entry; avg_value_10=30.3696M; adr20=4.3684; close=11.3800; ma50=10.0080
rsi2,BWXT,2025-08-21,163.541224,161.21775,2.323474,2025-08-29,161.21775,stop_loss,61,9976.01,-141.73,-0.014207,-1.0,-1.201722,1.618037,8,91.0,setup_rsi2=0.69; next_open_entry; avg_value_10=210.2281M; adr20=3.1155; close=164.8775; ma50=150.1722
