strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,ASX,2026-03-04,22.6,21.93,0.67,2026-03-04,21.93,same_day_stop_loss_red_candle,454,10260.4,-304.18,-0.029646,-1.0,-1.1791,0.0746,0,94.0,setup_rsi2=3.81; next_open_entry; avg_value_10=186.6399M; adr20=4.0920; close_gt_ma50=True
rsi2,HLF,2026-03-04,17.73,17.72,0.01,2026-03-04,17.72,same_day_stop_loss_red_candle,579,10265.67,-5.79,-0.000564,-1.0,-51.9989,5.0,0,92.0,setup_rsi2=4.50; next_open_entry; avg_value_10=43.8654M; adr20=4.1699; close_gt_ma50=True
rsi2,PRAX,2026-03-04,321.78,314.64,7.14,2026-03-05,314.64,stop_loss,31,9975.18,-221.34,-0.022189,-1.0,-2.5672,1.5112,1,98.0,setup_rsi2=2.69; next_open_entry; avg_value_10=145.7764M; adr20=5.7638; close_gt_ma50=True
rsi2,MU,2026-03-04,393.4747,374.3927,19.082,2026-03-05,383.943,atr_trail_1x,26,10230.34,-247.82,-0.024224,-0.4995,-0.6988,0.7459,1,97.0,setup_rsi2=2.64; next_open_entry; avg_value_10=12499.0642M; adr20=5.8940; close_gt_ma50=True
rsi2,NESR,2026-03-04,23.4,22.5,0.9,2026-03-05,22.5,stop_loss,439,10272.6,-395.1,-0.038462,-1.0,-1.8778,0.2444,1,97.0,setup_rsi2=2.49; next_open_entry; avg_value_10=53.7940M; adr20=5.1080; close_gt_ma50=True
rsi2,SYRE,2026-03-04,40.14,39.98,0.16,2026-03-05,39.98,stop_loss,255,10235.7,-40.8,-0.003986,-1.0,-1.5,15.25,1,96.0,setup_rsi2=3.13; next_open_entry; avg_value_10=37.8972M; adr20=6.2870; close_gt_ma50=True
rsi2,MKSI,2026-03-04,237.16,228.56,8.6,2026-03-05,228.56,stop_loss,43,10197.88,-369.8,-0.036262,-1.0,-1.6244,0.3279,1,95.0,setup_rsi2=2.68; next_open_entry; avg_value_10=355.0097M; adr20=5.6433; close_gt_ma50=True
rsi2,NEOG,2026-03-04,11.05,10.64,0.41,2026-03-05,10.6,stop_loss,930,10276.5,-418.5,-0.040724,-1.0976,-1.2439,0.1951,1,93.0,setup_rsi2=4.45; next_open_entry; avg_value_10=32.9085M; adr20=3.5081; close_gt_ma50=True
rsi2,STX,2026-03-04,366.8601,349.4904,17.3697,2026-03-05,363.23,atr_trail_1x,28,10272.08,-101.64,-0.009895,-0.209,-0.8586,1.3218,1,93.0,setup_rsi2=4.12; next_open_entry; avg_value_10=1406.7250M; adr20=6.1699; close_gt_ma50=True
rsi2,LRCX,2026-03-04,221.71,215.5318,6.1783,2026-03-05,215.5318,stop_loss,46,10198.66,-284.2,-0.027866,-1.0,-2.198,0.5519,1,92.0,setup_rsi2=2.51; next_open_entry; avg_value_10=2316.6886M; adr20=4.6266; close_gt_ma50=True
rsi2,MT,2026-03-04,61.4709,57.0716,4.3993,2026-03-05,57.0716,stop_loss,167,10265.64,-734.69,-0.071568,-1.0,-1.127,0.0658,1,92.0,setup_rsi2=2.98; next_open_entry; avg_value_10=122.9339M; adr20=2.8698; close_gt_ma50=True
rsi2,BELFB,2026-03-04,217.7858,208.1786,9.6072,2026-03-05,208.1786,stop_loss,47,10235.93,-451.54,-0.044113,-1.0,-1.8231,0.1301,1,91.0,setup_rsi2=1.29; next_open_entry; avg_value_10=36.0803M; adr20=5.7366; close_gt_ma50=True
rsi2,SKM,2026-03-04,29.39,28.21,1.18,2026-03-05,29.6,atr_trail_1x,349,10257.11,73.29,0.007145,0.178,-0.2881,1.9153,1,90.0,setup_rsi2=2.99; next_open_entry; avg_value_10=59.7670M; adr20=3.6780; close_gt_ma50=True
rsi2,NESR,2026-03-05,22.55,22.53,0.02,2026-03-05,22.53,same_day_stop_loss_red_candle,453,10215.15,-9.06,-0.000887,-1.0,-42.0031,24.0018,0,97.0,setup_rsi2=1.27; next_open_entry; avg_value_10=55.7878M; adr20=5.1645; close_gt_ma50=True
rsi2,ASX,2026-03-05,22.26,21.81,0.45,2026-03-05,21.81,same_day_stop_loss_red_candle,459,10217.34,-206.55,-0.020216,-1.0,-1.8222,0.6667,0,95.0,setup_rsi2=3.19; next_open_entry; avg_value_10=193.7101M; adr20=4.0821; close_gt_ma50=True
rsi2,RRX,2026-03-05,206.773,205.7451,1.028,2026-03-05,205.7451,same_day_stop_loss_red_candle,49,10131.88,-50.37,-0.004972,-1.0,-11.2233,2.3107,0,90.0,setup_rsi2=4.57; next_open_entry; avg_value_10=216.8964M; adr20=4.8751; close_gt_ma50=True
rsi2,SNDK,2026-03-04,586.84,557.09,29.75,2026-03-06,548.25,stop_loss,17,9976.28,-656.03,-0.065759,-1.2971,-2.0239,0.6938,2,99.0,setup_rsi2=4.32; next_open_entry; avg_value_10=12556.6010M; adr20=8.1952; close_gt_ma50=True
rsi2,WDC,2026-03-04,256.8771,244.1232,12.7539,2026-03-06,249.98,atr_trail_1x,39,10018.21,-268.99,-0.02685,-0.5408,-0.994,1.2351,2,97.0,setup_rsi2=4.73; next_open_entry; avg_value_10=2672.8822M; adr20=7.5016; close_gt_ma50=True
rsi2,RVMD,2026-03-04,101.34,97.61,3.73,2026-03-06,97.61,stop_loss,101,10235.34,-376.73,-0.036807,-1.0,-1.0804,0.1769,2,94.0,setup_rsi2=4.78; next_open_entry; avg_value_10=288.0701M; adr20=3.7104; close_gt_ma50=True
rsi2,WULF,2026-03-04,15.45,14.33,1.12,2026-03-06,14.33,stop_loss,665,10274.25,-744.8,-0.072492,-1.0,-1.5268,0.4286,2,94.0,setup_rsi2=4.87; next_open_entry; avg_value_10=499.1789M; adr20=10.7917; close_gt_ma50=True
rsi2,BLTE,2026-03-04,170.06,167.59,2.47,2026-03-06,170.6871,atr_trail_1x,60,10203.6,37.63,0.003688,0.2539,-0.8745,3.664,2,94.0,setup_rsi2=4.62; next_open_entry; avg_value_10=42.0229M; adr20=5.3361; close_gt_ma50=True
rsi2,CAPR,2026-03-05,25.5,25.33,0.17,2026-03-06,25.33,stop_loss,401,10225.5,-68.17,-0.006667,-1.0,-2.4706,19.9412,1,98.0,setup_rsi2=2.47; next_open_entry; avg_value_10=25.3079M; adr20=6.4731; close_gt_ma50=True
rsi2,NESR,2026-03-06,21.96,21.71,0.25,2026-03-06,21.71,same_day_stop_loss_red_candle,465,10211.4,-116.25,-0.011384,-1.0,-4.88,0.16,0,96.0,setup_rsi2=0.75; next_open_entry; avg_value_10=57.3996M; adr20=5.2679; close_gt_ma50=True
rsi2,GOLD,2026-03-06,53.59,53.19,0.4,2026-03-06,53.19,same_day_stop_loss_red_candle,190,10182.1,-76.0,-0.007464,-1.0,-3.0,2.025,0,96.0,setup_rsi2=4.05; next_open_entry; avg_value_10=36.8129M; adr20=7.5615; close_gt_ma50=True
rsi2,ASX,2026-03-06,21.45,21.44,0.01,2026-03-06,21.44,same_day_stop_loss_red_candle,476,10210.2,-4.76,-0.000466,-1.0,-47.999,25.9992,0,94.0,setup_rsi2=3.00; next_open_entry; avg_value_10=193.7834M; adr20=3.6842; close_gt_ma50=True
rsi2,ZIM,2026-03-04,27.1634,26.7088,0.4547,2026-03-09,26.4669,stop_loss,378,10267.78,-263.28,-0.025641,-1.5319,-1.5957,2.234,3,95.0,setup_rsi2=3.00; next_open_entry; avg_value_10=86.6883M; adr20=3.5552; close_gt_ma50=True
rsi2,SKE,2026-03-06,32.49,32.39,0.1,2026-03-09,32.31,stop_loss,314,10201.86,-56.52,-0.00554,-1.8,-9.3998,18.0996,1,96.0,setup_rsi2=3.80; next_open_entry; avg_value_10=31.4564M; adr20=5.3670; close_gt_ma50=True
rsi2,EQX,2026-03-06,16.0949,15.9651,0.1299,2026-03-09,15.9651,stop_loss,634,10204.19,-82.34,-0.00807,-1.0,-5.3077,5.9999,1,94.0,setup_rsi2=3.56; next_open_entry; avg_value_10=163.6876M; adr20=5.7788; close_gt_ma50=True
rsi2,SA,2026-03-06,32.28,32.23,0.05,2026-03-09,31.81,stop_loss,316,10200.48,-148.52,-0.01456,-9.4001,-20.2003,36.4005,1,93.0,setup_rsi2=3.10; next_open_entry; avg_value_10=30.9849M; adr20=5.8725; close_gt_ma50=True
rsi2,KYMR,2026-03-06,81.55,81.5,0.05,2026-03-09,81.5,stop_loss,125,10193.75,-6.25,-0.000613,-1.0,-27.3984,83.1948,1,92.0,setup_rsi2=3.91; next_open_entry; avg_value_10=85.0073M; adr20=5.5791; close_gt_ma50=True
rsi2,AEM,2026-03-06,217.42,214.89,2.53,2026-03-09,214.89,stop_loss,47,10218.74,-118.91,-0.011636,-1.0,-1.9644,3.3043,1,91.0,setup_rsi2=4.21; next_open_entry; avg_value_10=623.6332M; adr20=4.2826; close_gt_ma50=True
rsi2,NESR,2026-03-09,20.75,20.74,0.01,2026-03-09,20.74,same_day_stop_loss_red_candle,492,10209.0,-4.92,-0.000482,-1.0,-84.9981,39.4991,0,95.0,setup_rsi2=0.28; next_open_entry; avg_value_10=58.4127M; adr20=5.3479; close_gt_ma50=True
rsi2,LITE,2026-03-09,578.0,548.24,29.76,2026-03-11,646.4586,atr_trail_1x,17,9826.0,1163.8,0.11844,2.3004,-0.1458,4.628,2,99.0,setup_rsi2=4.88; next_open_entry; avg_value_10=4585.7634M; adr20=9.3241; close_gt_ma50=True
rsi2,DHT,2026-03-09,18.07,17.65,0.42,2026-03-11,17.65,stop_loss,566,10227.62,-237.72,-0.023243,-1.0,-1.4048,2.4286,2,95.0,setup_rsi2=4.44; next_open_entry; avg_value_10=154.2704M; adr20=4.3159; close_gt_ma50=True
