strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_trail_1atr,IREN,2025-07-30,15.9966,15.28,0.7166,2025-08-01,15.2785,stop_loss,642,10269.82,-461.04,-0.044893,-1.0021,-1.7815,1.5328,2,95.0,entry=rsi2_next_open; setup_rsi2=2.86; raw_entry=open:15.9950; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=15.7900; filter_ma50=12.8840; filter_avg_value_10=583.32; filter_adr20=9.74; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,TPC,2025-07-30,47.6433,46.6602,0.9831,2025-08-01,46.3361,stop_loss,215,10243.31,-281.04,-0.027437,-1.3297,-4.2698,1.0106,2,93.0,entry=rsi2_next_open; setup_rsi2=4.01; raw_entry=open:47.6386; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=46.8299; filter_ma50=43.4409; filter_avg_value_10=31.85; filter_adr20=3.36; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,COIN,2025-07-30,382.9883,365.74,17.2483,2025-08-01,335.1065,stop_loss,26,9957.7,-1244.93,-0.125022,-2.776,-4.1997,0.2407,2,92.0,entry=rsi2_next_open; setup_rsi2=0.89; raw_entry=open:382.9500; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=371.4400; filter_ma50=319.6870; filter_avg_value_10=5655.12; filter_adr20=5.04; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,SLDP,2025-07-31,3.1503,3.13,0.0203,2025-08-01,2.9497,stop_loss,3265,10285.78,-654.99,-0.063679,-9.875,-12.3217,8.6973,1,98.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:3.1500; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=3.1700; filter_ma50=2.3154; filter_avg_value_10=65.20; filter_adr20=13.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,NVTS,2025-07-31,7.5508,7.1,0.4508,2025-08-01,7.0143,stop_loss,1362,10284.13,-730.65,-0.071047,-1.1901,-1.3328,1.4071,1,97.0,entry=rsi2_next_open; setup_rsi2=3.61; raw_entry=open:7.5500; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=7.2100; filter_ma50=6.4970; filter_avg_value_10=311.97; filter_adr20=8.83; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,OUST,2025-07-31,23.1523,22.07,1.0823,2025-08-01,22.0678,stop_loss,444,10279.63,-481.53,-0.046843,-1.002,-1.7022,0.847,1,97.0,entry=rsi2_next_open; setup_rsi2=4.37; raw_entry=open:23.1500; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=22.4900; filter_ma50=20.3376; filter_avg_value_10=76.31; filter_adr20=8.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,QS,2025-07-31,8.8009,8.48,0.3209,2025-08-01,8.1992,stop_loss,1168,10279.43,-702.79,-0.068368,-1.8752,-2.1842,0.7764,1,96.0,entry=rsi2_next_open; setup_rsi2=1.67; raw_entry=open:8.8000; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=8.7800; filter_ma50=6.9326; filter_avg_value_10=1114.07; filter_adr20=12.92; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,ARQQ,2025-07-31,34.8735,32.77,2.1035,2025-08-01,31.4569,stop_loss,294,10252.8,-1004.49,-0.097972,-1.6243,-1.8938,0.4833,1,95.0,entry=rsi2_next_open; setup_rsi2=1.63; raw_entry=open:34.8700; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=33.3500; filter_ma50=32.6354; filter_avg_value_10=32.84; filter_adr20=9.85; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,BBAI,2025-07-31,6.6107,6.28,0.3307,2025-08-01,6.0444,stop_loss,1555,10279.58,-880.54,-0.085659,-1.7125,-1.8165,0.6028,1,95.0,entry=rsi2_next_open; setup_rsi2=3.20; raw_entry=open:6.6100; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=6.4100; filter_ma50=5.5224; filter_avg_value_10=709.58; filter_adr20=10.65; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,CAR,2025-07-31,169.0069,167.65,1.3569,2025-08-01,163.4136,stop_loss,60,10140.41,-335.6,-0.033095,-4.1221,-6.8957,3.2376,1,94.0,entry=rsi2_next_open; setup_rsi2=1.23; raw_entry=open:168.9900; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=172.4600; filter_ma50=156.3386; filter_avg_value_10=241.52; filter_adr20=4.79; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,BKSY,2025-07-31,18.5019,18.26,0.2418,2025-08-01,18.2582,stop_loss,555,10268.53,-135.24,-0.01317,-1.0076,-2.3645,4.9541,1,94.0,entry=rsi2_next_open; setup_rsi2=2.16; raw_entry=open:18.5000; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=18.4700; filter_ma50=16.9096; filter_avg_value_10=70.80; filter_adr20=8.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,FUTU,2025-07-31,149.222,148.0162,1.2058,2025-08-01,142.6773,stop_loss,68,10147.1,-445.04,-0.043859,-5.4276,-8.5419,1.8486,1,93.0,entry=rsi2_next_open; setup_rsi2=2.90; raw_entry=open:149.2071; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=148.5575; filter_ma50=125.2759; filter_avg_value_10=424.73; filter_adr20=4.74; rs_bucket=rs90_100
