strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,HNST,2024-12-12,7.14,7.04,0.1,2024-12-12,7.04,same_day_stop_loss_red_candle,7327,52314.78,-732.7,-0.014006,-1.0,-2.85,1.7,0,96.0,entry=rsi2_next_open; setup_rsi2=2.41; raw_entry=open:7.1400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=7.039999961853027; decision_date=2024-12-11 00:00:00; filter_close=7.1400; filter_ma50=5.3764; filter_avg_value_10=25.80; filter_adr20=8.06; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,SEZL,2024-12-12,53.285,51.5567,1.7283,2024-12-13,51.5567,stop_loss,982,52325.87,-1697.22,-0.032436,-1.0,-1.1273,0.8351,1,98.0,entry=rsi2_next_open; setup_rsi2=1.87; raw_entry=open:53.2850; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=51.55666732788086; decision_date=2024-12-11 00:00:00; filter_close=53.3433; filter_ma50=47.9484; filter_avg_value_10=36.86; filter_adr20=9.93; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,LLYVK,2024-12-12,70.74,70.37,0.37,2024-12-13,70.37,stop_loss,739,52276.86,-273.43,-0.00523,-1.0,-1.2973,3.0,1,93.0,entry=rsi2_next_open; setup_rsi2=4.93; raw_entry=open:70.7400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=70.37000274658203; decision_date=2024-12-11 00:00:00; filter_close=70.8400; filter_ma50=62.2805; filter_avg_value_10=27.96; filter_adr20=2.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,SEZL,2024-12-13,52.4983,52.0,0.4983,2024-12-13,52.0,same_day_stop_loss_red_candle,1002,52603.33,-499.33,-0.009492,-1.0,-2.3311,4.4749,0,98.0,entry=rsi2_next_open; setup_rsi2=1.29; raw_entry=open:52.4983; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=52.0; decision_date=2024-12-12 00:00:00; filter_close=52.6450; filter_ma50=48.4601; filter_avg_value_10=35.97; filter_adr20=9.62; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,INOD,2024-12-13,35.2,34.41,0.79,2024-12-13,34.41,same_day_stop_loss_red_candle,1496,52659.2,-1181.84,-0.022443,-1.0,-1.2532,2.2911,0,96.0,entry=rsi2_next_open; setup_rsi2=1.93; raw_entry=open:35.2000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=34.40999984741211; decision_date=2024-12-12 00:00:00; filter_close=35.0300; filter_ma50=29.9906; filter_avg_value_10=92.66; filter_adr20=10.86; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,DUOL,2024-12-13,340.5,336.21,4.29,2024-12-13,336.21,same_day_stop_loss_red_candle,154,52437.0,-660.66,-0.012599,-1.0,-1.5233,1.021,0,90.0,entry=rsi2_next_open; setup_rsi2=4.76; raw_entry=open:340.5000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=336.2099914550781; decision_date=2024-12-12 00:00:00; filter_close=339.5200; filter_ma50=314.9831; filter_avg_value_10=193.41; filter_adr20=4.28; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,CVNA,2024-12-11,47.8,46.882,0.918,2024-12-16,51.152,rsi2_gt_80,1096,52388.8,3673.79,0.070126,3.6514,-0.2832,4.2462,3,94.0,entry=rsi2_next_open; setup_rsi2=2.64; raw_entry=open:47.8000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=46.88199996948242; decision_date=2024-12-10 00:00:00; filter_close=47.3040; filter_ma50=44.5595; filter_avg_value_10=510.67; filter_adr20=3.67; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,TPR,2024-12-11,60.6066,59.9588,0.6478,2024-12-16,63.0112,rsi2_gt_80,866,52485.31,2082.4,0.039676,3.7121,-0.6061,5.1514,3,90.0,entry=rsi2_next_open; setup_rsi2=4.79; raw_entry=open:60.6066; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=59.95880972124127; decision_date=2024-12-10 00:00:00; filter_close=60.2533; filter_ma50=50.7036; filter_avg_value_10=410.16; filter_adr20=2.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,RCAT,2024-12-13,7.2,6.71,0.49,2024-12-16,10.45,rsi2_gt_80,7259,52264.8,23591.75,0.451389,6.6327,-0.0816,8.4286,1,99.0,entry=rsi2_next_open; setup_rsi2=4.42; raw_entry=open:7.2000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=6.710000038146973; decision_date=2024-12-12 00:00:00; filter_close=7.1900; filter_ma50=5.0565; filter_avg_value_10=66.91; filter_adr20=16.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,ROOT,2024-12-13,77.49,75.078,2.412,2024-12-16,75.078,stop_loss,679,52615.71,-1637.74,-0.031127,-1.0,-1.1924,0.6567,1,94.0,entry=rsi2_next_open; setup_rsi2=3.15; raw_entry=open:77.4900; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=75.0780029296875; decision_date=2024-12-12 00:00:00; filter_close=76.2600; filter_ma50=69.1246; filter_avg_value_10=33.13; filter_adr20=10.18; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,SEZL,2024-12-16,51.7067,51.3367,0.37,2024-12-16,51.3367,same_day_stop_loss_red_candle,1037,53619.82,-383.69,-0.007156,-1.0,-4.6117,11.4855,0,97.0,entry=rsi2_next_open; setup_rsi2=0.64; raw_entry=open:51.7067; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=51.33666610717773; decision_date=2024-12-13 00:00:00; filter_close=51.5017; filter_ma50=48.9948; filter_avg_value_10=35.54; filter_adr20=9.32; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,ROOT,2024-12-16,75.55,75.1,0.45,2024-12-16,75.1,same_day_stop_loss_red_candle,712,53791.6,-320.4,-0.005956,-1.0,-2.08,7.831,0,94.0,entry=rsi2_next_open; setup_rsi2=3.78; raw_entry=open:75.5500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=75.0999984741211; decision_date=2024-12-13 00:00:00; filter_close=76.2900; filter_ma50=69.8692; filter_avg_value_10=33.88; filter_adr20=10.02; rs_bucket=rs90_100
