strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,FSLR,2025-11-21,244.64,244.22,0.42,2025-11-24,259.85,rsi2_gt_70_exit,41,10030.24,623.61,0.062173,36.2145,-8.6667,40.024,1,90.0,setup_rsi2=1.90; next_open_entry; avg_value_10=505.7860M; adr20=5.1888; close_gt_ma50=True
rsi2,LVS,2025-11-21,63.1709,62.7259,0.4451,2025-11-24,64.9512,rsi2_gt_70_exit,160,10107.35,284.85,0.028182,4.0,-1.4667,4.2445,1,90.0,setup_rsi2=1.49; next_open_entry; avg_value_10=366.6213M; adr20=2.9166; close_gt_ma50=True
rsi2,AEIS,2025-11-21,189.3961,187.5576,1.8385,2025-11-24,205.9778,rsi2_gt_70_exit,53,10037.99,878.83,0.08755,9.0191,-0.4946,9.253,1,90.0,setup_rsi2=1.73; next_open_entry; avg_value_10=92.1645M; adr20=4.9491; close_gt_ma50=True
rsi2,DMRA,2025-11-24,16.35,16.03,0.32,2025-11-24,16.03,same_day_stop_loss_red_candle,622,10169.7,-199.04,-0.019572,-1.0,-1.2188,2.0938,0,99.0,setup_rsi2=4.04; next_open_entry; avg_value_10=55.1400M; adr20=21.9540; close_gt_ma50=True
rsi2,GTX,2025-11-21,15.4833,15.4734,0.0099,2025-11-25,16.3854,rsi2_gt_70_exit,654,10126.1,589.93,0.058259,90.9982,-7.9998,106.9979,2,91.0,setup_rsi2=4.69; next_open_entry; avg_value_10=43.9423M; adr20=3.0418; close_gt_ma50=True
rsi2,ABVX,2025-12-04,112.5,109.0,3.5,2025-12-04,109.0,same_day_stop_loss_red_candle,90,10125.0,-315.0,-0.031111,-1.0,-1.5557,0.0186,0,99.0,setup_rsi2=2.74; next_open_entry; avg_value_10=202.9008M; adr20=5.6560; close_gt_ma50=True
rsi2,ADPT,2025-12-04,16.86,16.5,0.36,2025-12-05,16.24,stop_loss,603,10166.58,-373.86,-0.036773,-1.7222,-6.1389,2.0,1,90.0,setup_rsi2=2.79; next_open_entry; avg_value_10=54.7230M; adr20=7.2380; close_gt_ma50=True
rsi2,ABVX,2025-12-05,109.75,107.055,2.695,2025-12-08,115.05,rsi2_gt_70_exit,92,10097.0,487.6,0.048292,1.9666,-0.2412,3.3878,1,99.0,setup_rsi2=2.56; next_open_entry; avg_value_10=162.8667M; adr20=5.6968; close_gt_ma50=True
rsi2,ALB,2025-12-05,123.1324,116.9663,6.1661,2025-12-08,126.5039,rsi2_gt_70_exit,82,10096.86,276.46,0.027381,0.5468,-0.179,0.979,1,94.0,setup_rsi2=4.51; next_open_entry; avg_value_10=433.8577M; adr20=5.5585; close_gt_ma50=True
rsi2,W,2025-12-05,94.53,92.52,2.01,2025-12-09,91.87,stop_loss,107,10114.71,-284.62,-0.028139,-1.3234,-1.7279,1.796,2,90.0,setup_rsi2=3.00; next_open_entry; avg_value_10=335.4217M; adr20=5.5463; close_gt_ma50=True
rsi2,BKD,2025-12-04,10.59,10.48,0.11,2025-12-10,10.48,stop_loss,960,10166.4,-105.6,-0.010387,-1.0,-1.2727,3.7273,4,90.0,setup_rsi2=2.40; next_open_entry; avg_value_10=43.5113M; adr20=4.2922; close_gt_ma50=True
rsi2,IONS,2025-12-10,79.38,78.32,1.06,2025-12-10,78.32,same_day_stop_loss_red_candle,128,10160.64,-135.68,-0.013353,-1.0,-1.5,0.3113,0,93.0,setup_rsi2=1.72; next_open_entry; avg_value_10=168.7257M; adr20=3.6536; close_gt_ma50=True
rsi2,INSM,2025-12-10,194.87,193.29,1.58,2025-12-10,193.29,same_day_stop_loss_red_candle,52,10133.24,-82.16,-0.008108,-1.0,-3.3418,1.6709,0,92.0,setup_rsi2=1.55; next_open_entry; avg_value_10=428.1757M; adr20=3.3709; close_gt_ma50=True
rsi2,AUPH,2025-12-04,14.76,14.7,0.06,2025-12-11,15.88,rsi2_gt_70_exit,689,10169.64,771.68,0.075881,18.6665,0.0,21.1665,5,90.0,setup_rsi2=2.88; next_open_entry; avg_value_10=26.4403M; adr20=3.8827; close_gt_ma50=True
rsi2,IONS,2025-12-11,78.63,77.79,0.84,2025-12-12,80.82,rsi2_gt_70_exit,129,10143.27,282.51,0.027852,2.6072,-0.6905,2.7262,1,93.0,setup_rsi2=1.48; next_open_entry; avg_value_10=160.5256M; adr20=3.4783; close_gt_ma50=True
rsi2,GRAL,2025-12-15,92.24,90.5,1.74,2025-12-15,90.5,same_day_stop_loss_red_candle,110,10146.4,-191.4,-0.018864,-1.0,-1.3678,1.0661,0,97.0,setup_rsi2=2.82; next_open_entry; avg_value_10=83.7362M; adr20=8.7691; close_gt_ma50=True
rsi2,WGS,2025-12-15,151.74,149.07,2.67,2025-12-15,149.07,same_day_stop_loss_red_candle,67,10166.58,-178.89,-0.017596,-1.0,-1.1386,1.9427,0,92.0,setup_rsi2=3.31; next_open_entry; avg_value_10=63.2475M; adr20=5.4461; close_gt_ma50=True
rsi2,INSM,2025-12-11,190.24,189.59,0.65,2025-12-16,200.67,rsi2_gt_70_exit,53,10082.72,552.79,0.054825,16.0459,-0.7231,21.2305,3,93.0,setup_rsi2=0.69; next_open_entry; avg_value_10=430.9248M; adr20=3.4027; close_gt_ma50=True
rsi2,ARQT,2025-12-15,29.2,28.3,0.9,2025-12-17,28.3,stop_loss,348,10161.6,-313.2,-0.030822,-1.0,-1.2778,0.3333,2,95.0,setup_rsi2=3.38; next_open_entry; avg_value_10=60.3200M; adr20=4.8480; close_gt_ma50=True
rsi2,ARQT,2025-12-17,28.58,28.37,0.21,2025-12-17,28.37,same_day_stop_loss_red_candle,356,10174.48,-74.76,-0.007348,-1.0,-2.5238,0.5238,0,94.0,setup_rsi2=1.03; next_open_entry; avg_value_10=62.2425M; adr20=4.2832; close_gt_ma50=True
rsi2,AMKR,2025-12-17,40.9016,39.0452,1.8564,2025-12-17,39.0452,same_day_stop_loss_red_candle,248,10143.6,-460.4,-0.045388,-1.0,-1.2419,0.1075,0,94.0,setup_rsi2=4.20; next_open_entry; avg_value_10=175.3023M; adr20=5.7029; close_gt_ma50=True
rsi2,PUMP,2025-12-17,9.63,9.32,0.31,2025-12-17,9.32,same_day_stop_loss_red_candle,1056,10169.28,-327.36,-0.032191,-1.0,-2.7097,0.2581,0,90.0,setup_rsi2=3.07; next_open_entry; avg_value_10=28.8646M; adr20=6.2164; close_gt_ma50=True
rsi2,VICR,2025-12-17,97.09,91.25,5.84,2025-12-18,98.29,rsi2_gt_70_exit,104,10097.36,124.8,0.01236,0.2055,-0.3151,0.7432,1,96.0,setup_rsi2=4.52; next_open_entry; avg_value_10=33.1682M; adr20=5.2592; close_gt_ma50=True
rsi2,SVRA,2025-12-18,6.24,5.95,0.29,2025-12-18,5.95,same_day_stop_loss_red_candle,1630,10171.2,-472.7,-0.046474,-1.0,-1.1034,0.1034,0,97.0,setup_rsi2=4.73; next_open_entry; avg_value_10=29.4616M; adr20=7.6292; close_gt_ma50=True
rsi2,NRIX,2025-12-18,18.24,17.97,0.27,2025-12-18,17.97,same_day_stop_loss_red_candle,556,10141.44,-150.12,-0.014803,-1.0,-2.963,1.4815,0,95.0,setup_rsi2=3.81; next_open_entry; avg_value_10=46.2573M; adr20=6.8478; close_gt_ma50=True
rsi2,ARQT,2025-12-18,28.54,28.05,0.49,2025-12-18,28.05,same_day_stop_loss_red_candle,355,10131.7,-173.95,-0.017169,-1.0,-2.0306,0.7347,0,93.0,setup_rsi2=0.65; next_open_entry; avg_value_10=61.2330M; adr20=4.1662; close_gt_ma50=True
rsi2,COHR,2025-12-18,178.75,170.12,8.63,2025-12-19,185.83,rsi2_gt_70_exit,56,10010.0,396.48,0.039608,0.8204,-0.9432,0.9699,1,96.0,setup_rsi2=4.48; next_open_entry; avg_value_10=919.5153M; adr20=7.3059; close_gt_ma50=True
rsi2,MU,2025-12-18,256.3187,221.5074,34.8113,2025-12-19,265.701,rsi2_gt_70_exit,39,9996.43,365.91,0.036604,0.2695,-0.3309,0.3401,1,95.0,setup_rsi2=4.15; next_open_entry; avg_value_10=6865.0308M; adr20=5.8199; close_gt_ma50=True
rsi2,TER,2025-12-18,192.4195,182.0839,10.3357,2025-12-19,195.0984,rsi2_gt_70_exit,52,10005.82,139.3,0.013922,0.2592,-0.3124,0.3859,1,95.0,setup_rsi2=4.95; next_open_entry; avg_value_10=559.6010M; adr20=4.2779; close_gt_ma50=True
rsi2,TTMI,2025-12-18,63.69,61.38,2.31,2025-12-19,70.38,rsi2_gt_70_exit,159,10126.71,1063.71,0.10504,2.8961,-0.4762,2.987,1,94.0,setup_rsi2=2.46; next_open_entry; avg_value_10=157.0722M; adr20=7.2988; close_gt_ma50=True
