strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ALB,2026-04-13,181.570007,172.570007,9.0,2026-04-22,190.75,ma10_break,67,12165.19,615.06,0.050559,1.019999,-0.702223,3.793333,9,92.0,"buy_stop=pivot_high_1_1:181.5700; entry=max(open,pivot)"
breakout,AAOI,2026-04-22,155.5,149.679993,5.820007,2026-04-22,149.679993,same_day_stop_loss,81,12595.5,-471.42,-0.037428,-1.0,-2.900341,0.627146,0,98.0,"buy_stop=pivot_high_1_1:155.4000; entry=max(open,pivot)"
breakout,AEIS,2026-04-22,396.48999,380.709991,15.779999,2026-04-22,380.709991,same_day_stop_loss,31,12291.19,-489.18,-0.039799,-1.0,-1.295943,0.0,0,92.0,"buy_stop=pivot_high_1_1:386.2500; entry=max(open,pivot)"
breakout,APLS,2026-03-31,40.400002,16.83,23.570002,2026-04-23,40.8805,ma10_break,288,11635.2,138.38,0.011894,0.020386,-0.007637,0.023335,23,98.0,"buy_stop=pivot_high_1_1:17.9800; entry=max(open,pivot)"
breakout,ALM,2026-04-06,16.379999,14.0,2.379999,2026-04-23,21.821,ma10_break,719,11777.22,3912.08,0.332173,2.286136,-0.394958,3.373951,17,95.0,"buy_stop=pivot_high_1_1:16.3800; entry=max(open,pivot)"
breakout,AAUC,2026-04-07,31.299999,31.09,0.209999,2026-04-23,31.798,ma10_break,391,12238.3,194.72,0.015911,2.371443,-0.904759,4.28574,16,90.0,"buy_stop=pivot_high_1_1:31.2750; entry=max(open,pivot)"
breakout,APGE,2026-04-08,85.0,81.269997,3.730003,2026-04-23,89.43,ma10_break,142,12070.0,629.06,0.052118,1.187666,-0.94638,2.765414,15,90.0,"buy_stop=pivot_high_1_1:84.9600; entry=max(open,pivot)"
breakout,ACHC,2026-04-09,26.620001,25.43,1.190001,2026-04-23,27.018,ma10_break,450,11979.0,179.1,0.014951,0.334453,-0.941177,1.386554,14,90.0,"buy_stop=pivot_high_1_1:24.4500; entry=max(open,pivot)"
breakout,ADGM,2026-04-14,1.5,1.27,0.23,2026-04-23,1.472,ma10_break,8138,12207.0,-227.86,-0.018667,-0.121739,-0.347826,0.826087,9,94.0,"buy_stop=pivot_high_1_1:1.5000; entry=max(open,pivot)"
breakout,APEI,2026-04-16,59.130001,57.009998,2.120003,2026-04-23,57.009998,stop_loss,208,12299.04,-440.96,-0.035853,-1.0,-2.023583,1.160375,7,91.0,"buy_stop=pivot_high_1_1:59.1300; entry=max(open,pivot)"
breakout,ANRO,2026-04-22,28.110001,24.84,3.27,2026-04-23,25.939,ma10_break,450,12649.5,-976.95,-0.077232,-0.663915,-0.819572,0.101223,1,97.0,"buy_stop=pivot_high_1_1:28.1100; entry=max(open,pivot)"
breakout,ARTV,2026-04-13,7.15,6.62,0.53,2026-04-24,10.771,ma10_break,1713,12247.95,6202.77,0.506434,6.832073,-0.783018,13.924522,11,97.0,"buy_stop=pivot_high_1_1:7.1500; entry=max(open,pivot)"
breakout,AAMI,2026-04-14,64.0,61.025002,2.974998,2026-04-24,66.309,ma10_break,190,12160.0,438.71,0.036078,0.776135,-0.110925,1.973111,10,90.0,"buy_stop=pivot_high_1_1:62.2500; entry=max(open,pivot)"
breakout,ANL,2026-04-17,15.79,12.83,2.96,2026-04-24,14.909,ma10_break,787,12426.73,-693.35,-0.055795,-0.297635,-0.875,0.493243,7,99.0,"buy_stop=pivot_high_1_1:15.7900; entry=max(open,pivot)"
breakout,ATEN,2026-04-17,27.530941,25.425457,2.105484,2026-04-24,26.574992,ma10_break,452,12443.99,-432.09,-0.034723,-0.454028,-0.56872,0.473934,7,90.0,"buy_stop=pivot_high_1_1:25.3656; entry=max(open,pivot)"
breakout,AIXI,2026-04-23,1.23,0.747,0.483,2026-04-24,0.747,stop_loss,10195,12539.85,-4924.19,-0.392683,-1.0,-1.047619,0.351967,1,99.0,"buy_stop=pivot_high_1_1:1.2300; entry=max(open,pivot)"
breakout,AEHR,2026-04-06,45.299999,35.650002,9.649998,2026-04-27,87.344001,ma10_break,259,11732.7,10889.4,0.928124,4.356892,-0.050777,5.92539,21,98.0,"buy_stop=pivot_high_1_1:41.0900; entry=max(open,pivot)"
