strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,HERE,2025-06-26,9.14,8.7,0.44,2025-06-26,8.7,same_day_stop_loss,1102,10072.28,-484.88,-0.04814,-1.0,-1.6136,0.3636,0,98.0,setup_rsi2=4.60; next_open_entry; avg_value_10=28.9538M; adr20=17.3295; close_gt_ma50=True
rsi2,QBTS,2025-06-26,14.17,14.16,0.01,2025-06-26,14.16,same_day_stop_loss,710,10060.7,-7.1,-0.000706,-1.0,-21.9995,24.4994,0,98.0,setup_rsi2=3.71; next_open_entry; avg_value_10=686.9319M; adr20=8.2144; close_gt_ma50=True
rsi2,IBO,2025-06-23,1.08,0.362,0.718,2025-06-27,0.7235,ma10_break,9335,10081.8,-3327.93,-0.330093,-0.4965,-0.5515,1.2117,4,98.0,setup_rsi2=1.84; next_open_entry; avg_value_10=68.9159M; adr20=13.2542; close_gt_ma50=True
rsi2,QBTS,2025-06-27,14.1,13.95,0.15,2025-06-27,13.95,same_day_stop_loss,714,10067.4,-107.1,-0.010638,-1.0,-3.5333,2.0,0,98.0,setup_rsi2=3.02; next_open_entry; avg_value_10=695.5820M; adr20=7.9588; close_gt_ma50=True
rsi2,HERE,2025-06-27,8.56,8.43,0.13,2025-06-27,8.43,same_day_stop_loss,1176,10066.56,-152.88,-0.015187,-1.0,-5.8462,8.5385,0,98.0,setup_rsi2=2.70; next_open_entry; avg_value_10=28.1618M; adr20=18.1740; close_gt_ma50=True
rsi2,HERE,2025-06-30,8.07,7.8,0.27,2025-07-01,9.98,ma10_break,1244,10039.08,2376.04,0.236679,7.0741,-0.1852,10.7778,1,98.0,setup_rsi2=1.17; next_open_entry; avg_value_10=29.5175M; adr20=18.9142; close_gt_ma50=True
rsi2,QBTS,2025-06-30,14.12,13.57,0.55,2025-07-01,14.854,ma10_break,712,10053.44,522.61,0.051983,1.3345,-0.5273,2.1818,1,98.0,setup_rsi2=2.68; next_open_entry; avg_value_10=688.6238M; adr20=7.9819; close_gt_ma50=True
rsi2,LEU,2025-06-30,168.95,161.74,7.21,2025-07-01,173.17,ma10_break,59,9968.05,248.98,0.024978,0.5853,-0.7822,2.147,1,98.0,setup_rsi2=4.80; next_open_entry; avg_value_10=320.3853M; adr20=9.2052; close_gt_ma50=True
rsi2,KYMR,2025-07-01,45.02,43.58,1.44,2025-07-02,44.7,ma10_break,223,10039.46,-71.36,-0.007108,-0.2222,-0.8194,0.3056,1,90.0,setup_rsi2=4.13; next_open_entry; avg_value_10=50.4140M; adr20=5.2790; close_gt_ma50=True
rsi2,CRK,2025-07-02,25.38,24.9,0.48,2025-07-02,24.9,same_day_stop_loss,396,10050.48,-190.08,-0.018913,-1.0,-1.625,0.6667,0,90.0,setup_rsi2=3.55; next_open_entry; avg_value_10=96.8404M; adr20=5.0388; close_gt_ma50=True
rsi2,ASTI,2025-06-26,2.87,1.1,1.77,2025-07-03,2.15,ma10_break,3509,10070.83,-2526.48,-0.250871,-0.4068,-0.4802,0.5593,5,93.0,setup_rsi2=4.59; next_open_entry; avg_value_10=32.1347M; adr20=12.3182; close_gt_ma50=True
rsi2,GRAL,2025-07-09,43.55,42.42,1.13,2025-07-09,42.42,same_day_stop_loss,230,10016.5,-259.9,-0.025947,-1.0,-1.4513,0.823,0,93.0,setup_rsi2=3.61; next_open_entry; avg_value_10=76.2919M; adr20=7.5834; close_gt_ma50=True
rsi2,GRAL,2025-07-10,42.13,41.91,0.22,2025-07-10,41.91,same_day_stop_loss,238,10026.94,-52.36,-0.005222,-1.0,-4.0,9.8636,0,93.0,setup_rsi2=2.60; next_open_entry; avg_value_10=75.8443M; adr20=7.5500; close_gt_ma50=True
rsi2,NBIS,2025-07-10,46.5,45.81,0.69,2025-07-10,45.81,same_day_stop_loss,216,10044.0,-149.04,-0.014839,-1.0,-1.8116,1.0652,0,93.0,setup_rsi2=4.70; next_open_entry; avg_value_10=493.3070M; adr20=6.6656; close_gt_ma50=True
rsi2,ASTS,2025-07-10,43.28,42.44,0.84,2025-07-11,43.48,ma10_break,232,10040.96,46.4,0.004621,0.2381,-0.6179,5.2857,1,95.0,setup_rsi2=2.10; next_open_entry; avg_value_10=556.1720M; adr20=8.1232; close_gt_ma50=True
rsi2,TSSI,2025-07-11,22.45,22.37,0.08,2025-07-11,22.37,same_day_stop_loss,447,10035.15,-35.76,-0.003563,-1.0,-25.25,3.125,0,97.0,setup_rsi2=4.83; next_open_entry; avg_value_10=75.3226M; adr20=11.5387; close_gt_ma50=True
rsi2,SEZL,2025-07-14,133.0,132.04,0.96,2025-07-14,132.04,same_day_stop_loss,75,9975.0,-72.0,-0.007218,-1.0,-2.4062,4.9791,0,98.0,setup_rsi2=3.64; next_open_entry; avg_value_10=192.2872M; adr20=8.6706; close_gt_ma50=True
rsi2,TSSI,2025-07-14,20.44,20.43,0.01,2025-07-14,20.43,same_day_stop_loss,492,10056.48,-4.92,-0.000489,-1.0,-64.9985,87.9979,0,97.0,setup_rsi2=2.04; next_open_entry; avg_value_10=65.2804M; adr20=11.4719; close_gt_ma50=True
rsi2,QUBT,2025-07-14,17.895,17.38,0.515,2025-07-15,19.03,ma10_break,562,10056.99,637.87,0.063426,2.2039,-0.9029,2.3786,1,98.0,setup_rsi2=3.69; next_open_entry; avg_value_10=400.4998M; adr20=10.3852; close_gt_ma50=True
rsi2,CRWV,2025-07-14,130.38,125.67,4.71,2025-07-15,144.24,ma10_break,77,10039.26,1067.22,0.106305,2.9427,-0.0828,3.4756,1,98.0,setup_rsi2=3.77; next_open_entry; avg_value_10=1803.4963M; adr20=8.5252; close_gt_ma50=True
rsi2,DAVE,2025-07-14,206.88,196.318,10.562,2025-07-15,196.318,stop_loss,48,9930.24,-506.98,-0.051054,-1.0,-1.7355,1.0812,1,96.0,setup_rsi2=1.47; next_open_entry; avg_value_10=141.1617M; adr20=8.6038; close_gt_ma50=True
rsi2,APPS,2025-07-14,5.12,5.04,0.08,2025-07-15,5.35,ma10_break,1966,10065.92,452.18,0.044922,2.875,-0.375,3.5,1,93.0,setup_rsi2=1.65; next_open_entry; avg_value_10=28.3300M; adr20=11.9023; close_gt_ma50=True
rsi2,LAES,2025-07-16,3.485,3.33,0.155,2025-07-17,3.6,ma10_break,2889,10068.16,332.24,0.032999,0.7419,-0.8065,1.8387,1,95.0,setup_rsi2=1.28; next_open_entry; avg_value_10=38.0546M; adr20=7.9968; close_gt_ma50=True
rsi2,ATRO,2025-07-11,32.85,29.91,2.94,2025-07-21,34.04,ma10_break,305,10019.25,362.95,0.036225,0.4048,-0.0068,1.5204,6,92.0,setup_rsi2=2.42; next_open_entry; avg_value_10=26.9424M; adr20=5.1301; close_gt_ma50=True
rsi2,TGB,2025-07-21,3.29,3.17,0.12,2025-07-22,3.28,ma10_break,3061,10070.69,-30.61,-0.00304,-0.0833,-0.5833,1.3333,1,90.0,setup_rsi2=4.70; next_open_entry; avg_value_10=31.2518M; adr20=5.3343; close_gt_ma50=True
rsi2,RYTM,2025-07-28,86.88,85.81,1.07,2025-07-28,85.81,same_day_stop_loss,115,9991.2,-123.05,-0.012316,-1.0,-2.486,0.0,0,93.0,setup_rsi2=2.11; next_open_entry; avg_value_10=53.7732M; adr20=4.1434; close_gt_ma50=True
rsi2,GAME,2025-07-28,1.17,1.1,0.07,2025-07-28,1.1,same_day_stop_loss,8608,10071.36,-602.56,-0.059829,-1.0,-1.2857,0.9286,0,92.0,setup_rsi2=3.20; next_open_entry; avg_value_10=57.6353M; adr20=22.5028; close_gt_ma50=True
rsi2,COIN,2025-07-29,383.59,375.26,8.33,2025-07-29,375.26,same_day_stop_loss,26,9973.34,-216.58,-0.021716,-1.0,-2.1429,0.1429,0,92.0,setup_rsi2=1.73; next_open_entry; avg_value_10=5655.1192M; adr20=5.0359; close_gt_ma50=True
rsi2,PCT,2025-07-29,15.1,14.67,0.43,2025-07-29,14.67,same_day_stop_loss,666,10056.6,-286.38,-0.028477,-1.0,-2.6419,0.186,0,91.0,setup_rsi2=1.89; next_open_entry; avg_value_10=57.4221M; adr20=5.9633; close_gt_ma50=True
rsi2,RYTM,2025-07-29,85.93,84.22,1.71,2025-07-30,84.22,stop_loss,117,10053.81,-200.07,-0.0199,-1.0,-1.0468,0.6784,1,93.0,setup_rsi2=0.97; next_open_entry; avg_value_10=49.7432M; adr20=4.0776; close_gt_ma50=True
