strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ALMU,2026-05-12,28.726,23.5,5.226,2026-05-14,23.5,stop_loss,347,9967.92,-1813.42,-0.181926,-1.0,-1.516648,0.586299,2,96.0,"buy_stop=pivot_high_1_1:28.7260; entry=max(open,pivot)"
breakout,CGON,2026-05-13,71.879997,68.934998,2.945,2026-05-14,68.934998,stop_loss,139,9991.32,-409.35,-0.040971,-1.0,-1.293717,1.229203,1,90.0,"buy_stop=pivot_high_1_1:69.6900; entry=max(open,pivot)"
breakout,ANDG,2026-05-14,37.52,34.324001,3.195999,2026-05-14,34.324001,same_day_stop_loss,268,10055.36,-856.53,-0.085181,-1.0,-1.070089,0.0,0,95.0,"buy_stop=pivot_high_1_1:36.3050; entry=max(open,pivot)"
breakout,ACRS,2026-05-14,5.12,4.8,0.32,2026-05-14,4.8,same_day_stop_loss,1964,10055.68,-628.48,-0.0625,-1.0,-1.031251,0.093751,0,94.0,"buy_stop=pivot_high_1_1:5.1200; entry=max(open,pivot)"
breakout,CD,2026-05-14,6.73,5.8,0.93,2026-05-14,5.8,same_day_stop_loss,1493,10047.89,-1388.49,-0.138187,-1.0,-1.064517,0.935484,0,90.0,"buy_stop=pivot_high_1_1:6.7300; entry=max(open,pivot)"
breakout,AMD,2026-05-11,460.549988,418.290009,42.259979,2026-05-15,426.109985,pivot_low_break,21,9671.55,-723.24,-0.07478,-0.814955,-0.880029,0.205159,4,98.0,"buy_stop=pivot_high_1_1:430.6000; entry=max(open,pivot)"
breakout,ABSI,2026-05-11,6.235,4.75,1.485,2026-05-15,5.26,pivot_low_break,1603,9994.71,-1562.92,-0.156375,-0.656566,-0.858586,0.326599,4,97.0,"buy_stop=pivot_high_1_1:6.2350; entry=max(open,pivot)"
breakout,BNAI,2026-05-11,25.045,21.610001,3.434999,2026-05-15,21.610001,stop_loss,398,9967.91,-1367.13,-0.137153,-1.0,-1.177584,0.522562,4,96.0,"buy_stop=pivot_high_1_1:25.0450; entry=max(open,pivot)"
breakout,CADL,2026-05-11,8.5,7.77,0.73,2026-05-15,8.23,pivot_low_break,1173,9970.5,-316.71,-0.031765,-0.369864,-0.986301,1.054795,4,96.0,"buy_stop=pivot_high_1_1:7.9880; entry=max(open,pivot)"
breakout,ACMR,2026-05-11,63.950001,57.279999,6.670002,2026-05-15,59.349998,pivot_low_break,155,9912.25,-713.0,-0.071931,-0.689655,-0.704648,0.556222,4,92.0,"buy_stop=pivot_high_1_1:63.9500; entry=max(open,pivot)"
breakout,BLLN,2026-05-11,92.711998,85.099998,7.612,2026-05-15,85.099998,stop_loss,107,9920.18,-814.48,-0.082104,-1.0,-1.411193,1.877037,4,91.0,"buy_stop=pivot_high_1_1:86.6000; entry=max(open,pivot)"
breakout,BIOA,2026-05-11,18.809999,17.469999,1.34,2026-05-15,17.469999,stop_loss,533,10025.73,-714.22,-0.071239,-1.0,-1.074626,0.417911,4,91.0,"buy_stop=pivot_high_1_1:18.8100; entry=max(open,pivot)"
breakout,AGCC,2026-05-12,19.540001,17.99,1.550001,2026-05-15,17.99,stop_loss,511,9984.94,-792.05,-0.079325,-1.0,-1.316129,1.387096,3,97.0,"buy_stop=pivot_high_1_1:19.5400; entry=max(open,pivot)"
breakout,BMM,2026-05-13,7.32,6.595,0.725,2026-05-15,6.595,stop_loss,1374,10057.68,-996.15,-0.099044,-1.0,-1.048276,0.193103,2,91.0,"buy_stop=pivot_high_1_1:7.3200; entry=max(open,pivot)"
